#France
date	Itot	Dtot	I_ARH	D_ARH	IdF	Grand_Est	Isère	Drôme	Rhône
24	22302	1100	1857	?	6798	4922		?	?	?
23	19856	860	1738	85	6211	4256		155	112	491
22	16689	674	1431	72	5283	3395		117	99	381
21	14459	562	1266	57	4695	3089		103	93	337
20	12612	450	1101	?	3818	3006		?	?	?
19	10995	372     1014	39	3384	2643		66	86   	267
18	9134	244	858	27 	2693	2163		58	77   	220
17	7730	175	710	24	2177	1820		44	71   	181
16	6633	148	618	20	1762	1543		35	69   	164
15	5423	127	523	18	1209	1378		34	46   	136
14 	4499	91	454	12	949 	1085		29	45   	123
13 	3661	79	416	 ?	721 	 911		?	?    	?
12 	2882	61	333	 7	577 	 699		16	33   	87
11 	2281	48	264	 3	492 	 578		13	24   	72
10 	2039	42	249	 3	468 	 489		3	20   	60
 9 	1412	25	182	 3	  ? 	 250		1	16   	49
 8 	1126	19	146	 1	  ? 	 136		?	16   	44
 7 	 949	11	125	 0	104 	  77		?	16   	32
 6 	 613	 9 	 87	 0	 89 	  38		?	 3   	21
 5 	 423	 5	 64	 0 	 76 	  ?		?	 3   	12
 4 	 285	 4	 51	 0 	 55 	  ?		?	 1   	 4



Date	I_Monde D_Monde I_Europe D_Europe
24	378041	16365	182470	 10049
23	338307	14602	160233	 8622
21	271364	11252	127896	 5999
20	242488	9885	102659	 4885
19	213254	8843	82869	 4049
18	194213	7869	74399	 3340
17	180160	7103	61098	 2740
16	167414	6507	54425	 2337
15	151363	5758	41499	 1744
14 	143247	5407	36229	 1513
13 	137456	5065	?	   ? 
12 	126443	4641	?	   ? 
11 	124101	4566	22307	  930
10 	118628	4292	18086	  716
 9 	109695	3811	11577	  396
 8 	105828	3584	 9161	  251
 7 	101412	3488	 7264	  213
 6 	 98171	3385	 5685	  161
 5 	 95315	3282	 4290     113 
 4 	 93076	3202	 3368      85 


Date	Espana	D(Esp)	Italia  D(It) R(Esp)	R(It) Germany D(De)  Allemagne  D(All.)
24	39673	2696	69176	6820   3794	8326  ?	      ?	     32991	159
23	33089	2182	?	?      3355	?     ?	      ?	     	29437	126
22	?	?	59138	5476  ?		7024  ?		?	29056	123
21	24926	1326	42681	4825  2125	?     16662	68	22213	84
20	19980	1002	47021	4032  1588	5129  13957	31	19848	68
19	17147	767	41035	3405  1107	4440  10999	20	15320	44
18	13716	598	35713	2978  1081	4025   8198	12	12327	28
17	11178	491	31506	2503  	?	2941   7156	12	 9360	26
16	9942	342	27980	2158	?	2749   6012	12	 7272	17
15	7798	289	24747	1809	?	2335   4838	12	 5813	13
14	6391	195	21157	1441	?	1966   3795	 8	 4585	 9
13 	5232	133	17660	1266	?	1439   3062	 8	 3675	 8
12 	2277	 55	15113	1016	?	1258   2369	 5	 2745	 6
11 	?	 54	12462	 827	?	?       1884	 3	 1966	 3
10 	1695	 35	10149	 631	?	?       1460	 2	 1565	 2
 9 	1073	 28	 9172	 463	?	?       1112	 2	 1139	 0
 8 	673	 17	 7375	 366	?	?        847	 0	  903	 0
 7 	500	 10	 5883	 233	?	?        684 	 0	  795	 0
 6 	400	  5	 4636	 197	?	?        534 	 0	  639	 0
 5 	259	  3	 3858	 148	?	?        349 	 0	  400	 0
 4 	222	  2	 3089	 107	?	?        240	 0	  262	 0
 3 	165	  1	 2502	  79	?	?	188	 0	  188	 0
 2	120	  0	 2036	  52	?	?	150	 0	  150	 0
 1	84	  0	 1694	  34	?	?	117	 0	  117	 0
-1	45	  0	 1128	  29	?	?	 66	 0	   66	 0
-2	?	  0	  888	  21	?	?	 53	 0	   53	 0
-3	?	  0	  655	  17	?	?	 26	 0	   24	 0
-4	?	  0	  453	  12	?	?	 21	 0	   19	 0
-5	?	  0	  322	  10	?	?	 18	 0	   16	 0
-6	?	  0	  229	   7	?	?	 16	 0	   14	 0
-7	?	  0	  155	   3	?	?	 ?	 ?	   14	 0
#-8	?	  0	   62	   2	?	?	 ?	?
#-9	?	  0	   20	   1	?	?	 ?	?
